Username*,Password,First Name*,Last Name*,GroupID*,Security Type*,Email Address*,Mobile Phone,User Role,User Message Type,Device GroupID,Device Friendly Name,Device Serial Number,Device Platform
user1@invalid.com,1234,shia01,sur01,bub,Basic,user1@invalid.com,,,,,,,
user2@invalid.com,1234,shia02,sur02,bub,Basic,user2@invalid.com,,,,,,,
user3@invalid.com,1234,shia03,sur03,bub,Basic,user3@invalid.com,,,,,,,
user4@invalid.com,1234,shia04,sur04,bub,Basic,user4@invalid.com,,,,,,,
user5@invalid.com,1234,shia05,sur05,bub,Basic,user5@invalid.com,,,,,,,
user6@invalid.com,1234,shia06,sur06,bub,Basic,user6@invalid.com,,,,,,,
user7@invalid.com,1234,shia07,sur07,bub,Basic,user7@invalid.com,,,,,,,
user8@invalid.com,1234,shia08,sur08,bub,Basic,user8@invalid.com,,,,,,,
user9@invalid.com,1234,shia09,sur09,bub,Basic,user9@invalid.com,,,,,,,
user10@invalid.com,1234,shia10,sur10,bub,Basic,user10@invalid.com,,,,,,,
user11@invalid.com,1234,shia11,sur11,bub,Basic,user11@invalid.com,,,,,,,
user12@invalid.com,1234,shia12,sur12,bub,Basic,user12@invalid.com,,,,,,,
user13@invalid.com,1234,shia13,sur13,bub,Basic,user13@invalid.com,,,,,,,
user14@invalid.com,1234,shia14,sur14,bub,Basic,user14@invalid.com,,,,,,,
user15@invalid.com,1234,shia15,sur15,bub,Basic,user15@invalid.com,,,,,,,
user16@invalid.com,1234,shia16,sur16,bub,Basic,user16@invalid.com,,,,,,,
user17@invalid.com,1234,shia17,sur17,bub,Basic,user17@invalid.com,,,,,,,
user18@invalid.com,1234,shia18,sur18,bub,Basic,user18@invalid.com,,,,,,,
user19@invalid.com,1234,shia19,sur19,bub,Basic,user19@invalid.com,,,,,,,
user20@invalid.com,1234,shia20,sur20,bub,Basic,user20@invalid.com,,,,,,,
